"Method","Route","Category","Statuses","Content types","Query fields","Request schema","Response schema","Evidence files"
"POST","/assets/edit/%7Bid%7D","application","302","","","present","","controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/network-schemas/CONTRACTS.json"
"GET","/assets/events","application","200","text/html; charset=utf-8","","","","checkpoint.json"
"POST","/assets/fetchlistdata","application","200","text/html; charset=utf-8;application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","","present","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/network-schemas/CONTRACTS.json"
"GET","/assets/images","application","200","text/html; charset=utf-8","","","","checkpoint.json"
"GET","/assets/reservecalendardata","application","200","application/json; charset=utf-8","","","","checkpoint.json"
"GET","/assets","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/network-schemas/CONTRACTS.json"
"GET","/atgtg/","application","200;204;304;302","application/javascript; charset=UTF-8;text/plain;text/html; charset=UTF-8","fps;is_td;v;t;pid;gtm;seq;exp;dl;tdp;frm;rtg;slo;hlo;lst;bt;ct;mde;z","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/network-schemas/CONTRACTS.json;guided-black-box-lab-v6-2026-08-13T07-24-17-010Z/manifests/run-checkpoint.json"
"GET","/atgtg/a","application","200","text/html","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json"
"POST","/atgtg/ag/g/c","application","204","text/plain","v;tid;gtm;_p;_gaz;gcd;npa;dma;gdid;_eu;_uip;are;cid;fp;frm;ir;pscdl;rcb;sr;uaa;uab;uafvl;uam;uamb;uap;uapv;uaw;ul;ur;_gsid;gaf;_s;tag_exp;uid;sid;sct;seg;dl;dr;dt;en;_fv;_nsi;_ss;gap.gtb;tfd;ae;epn.percent_scrolled;_et","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/network-schemas/CONTRACTS.json;guided-black-box-lab-v6-2026-08-13T07-24-17-010Z/manifests/run-checkpoint.json"
"GET","/atgtg/CshIfx4iO3v3IoM8CQCxrvGqdIhrtTcpaoCCw2hn-eqkK8_S","application","200","application/javascript; charset=UTF-8","","","","checkpoint.json"
"GET","/atgtg/CshIfx4iO3v3IoM8CQCxrvGqdIhrtTcpaoCCw2hn-eqmKh8kz9I","application","200","application/javascript; charset=UTF-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json"
"GET","/atgtg/CshIfx4iO3v3IoM8CQCxrvGqdIhrtTcpaoCCw2hn-eqnK1FwCmxBMKbP0g","application","200","application/javascript; charset=UTF-8","","","","controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/network-schemas/CONTRACTS.json"
"GET","/atgtg/CshIfx4iO3v3IoM8CQCxrvGqdIhrtTcpaoCCw2hn-eqnK8_S","application","200","application/javascript; charset=UTF-8","","","","controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/network-schemas/CONTRACTS.json"
"GET","/atgtg/CshIfx4iO3v3IoM8CQCxrvGqdIhrtTcpaoCCw2hn-eqnKs_S","application","200","application/javascript; charset=UTF-8","","","","checkpoint.json"
"GET","/atgtg/CshIfx4iO3v3IoM8CQCxrvGqdIhrtTcpaoCCw2hn-eqnKx8nz9I","application","200","application/javascript; charset=UTF-8","","","","guided-black-box-lab-v6-2026-08-13T07-24-17-010Z/manifests/run-checkpoint.json"
"GET","/atgtg/CshIfx4iPQHuUeVVB2PCrIvLZM1w8GlsK5Obk2E2quT9e0bP0g","application","200","application/javascript; charset=UTF-8","","","","checkpoint.json"
"GET","/atgtg/CshIfx4iPQHuUeVVB2PCrIvLZM1w8GlsK5Obk2E2quT9eEbP0g","application","200","application/javascript; charset=UTF-8","","","","controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/network-schemas/CONTRACTS.json"
"GET","/atgtg/CshIfx4iPQHuUeVVB2PCrIvLZM1w8GlsK5Obk2E2quT9eEfP0g","application","200;304","application/javascript; charset=UTF-8","","","","checkpoint.json"
"GET","/atgtg/CshIfx4iPQHuUeVVB2PCrIvLZM1w8GlsK5Obk2E2quT9eEYwHG8Pa6UFz9I","application","200","application/javascript; charset=UTF-8","","","","controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/network-schemas/CONTRACTS.json"
"GET","/atgtg/CshIfx4iPQHuUeVVB2PCrIvLZM1w8GlsK5Obk2E2quT9eEZ-S8_S","application","200","application/javascript; charset=UTF-8","","","","guided-black-box-lab-v6-2026-08-13T07-24-17-010Z/manifests/run-checkpoint.json"
"GET","/atgtg/CshIfx4iPQHuUeVVB2PCrIvLZM1w8GlsK5Obk2E2quT9eUd-SM_S","application","200","application/javascript; charset=UTF-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json"
"POST","/atgtg/d/ccm/form-data/%7Bid%7D","application","204","text/plain","gtm;gcd;dma;tag_exp;rcb;ga_uid;did;gdid;npa;frm;ae;pscdl;auid;uaa;uab;uafvl;uamb;uam;uap;uapv;uaw;gap.fsrc;gap.gtb;fmt;_uip","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/network-schemas/CONTRACTS.json"
"POST","/atgtg/d/pagead/form-data/%7Bid%7D","application","200","text/html; charset=UTF-8","gtm;gcd;dma;tag_exp;rcb;ga_uid;did;gdid;npa;frm;pscdl;ae;auid;uaa;uab;uafvl;uamb;uam;uap;uapv;uaw;gap.fsrc;gap.gtb;fmt","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/network-schemas/CONTRACTS.json"
"GET","/atgtg/td","application","204","text/plain","id;v;t;pid;gtm;seq;exp;dl;tdp;frm;rtg;slo;hlo;lst;pcid;bt;ct;z;mde","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-36-48-885Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-44-49-808Z/network-schemas/CONTRACTS.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/manifests/checkpoint.json;controlled-rules-profiler-v6.4-2026-08-13T09-48-36-699Z/network-schemas/CONTRACTS.json"
"POST","/categories/categories","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json"
"GET","/categories","application","200","text/html; charset=utf-8","","","","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json"
"POST","/chatHub/negotiate","application","200","application/json","","","present","automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/manifests/checkpoint.json;automatic-gap-audit-v6.3-2026-08-13T07-37-33-328Z/network/NORMALIZED-CONTRACTS.json;checkpoint.json"
